Original Title,Found Title,Status,URL
"# Game Popularity Rankings","",NOT_FOUND,
"This document ranks idle, clicker, and incremental games based on their frequency of mention in a curated list of ""best of"" articles and videos.","",NOT_FOUND,
"| Rank | Game Title | Mention Count |","",NOT_FOUND,
"| :--- | :--- | :--- |","",NOT_FOUND,
"| 1 | Cookie Clicker | 14 |","",SUCCESS,https://www.metacritic.com/game/pc/cookie-clicker/critic-reviews/
"| 2 | AdVenture Capitalist | 12 |","",SUCCESS,https://www.metacritic.com/game/pc/adventure-capitalist
"| 3 | Cell to Singularity | 9 |","",SUCCESS,https://www.metacritic.com/game/pc/cell-to-singularity---evolution-never-ends
"| 4 | Clicker Heroes | 8 |","",SUCCESS,https://www.metacritic.com/game/pc/clicker-heroes
"| 5 | Melvor Idle | 8 |","",SUCCESS,https://www.metacritic.com/game/pc/melvor-idle
"| 6 | Fallout Shelter | 7 |","",SUCCESS,https://www.metacritic.com/game/pc/fallout-shelter
"| 7 | Idle Champions of the Forgotten Realms | 7 |","",SUCCESS,https://www.metacritic.com/game/pc/idle-champions-of-the-forgotten-realms
"| 8 | NGU Idle | 6 |","",SUCCESS,https://www.metacritic.com/game/pc/ngu-idle
"| 9 | Leaf Blower Revolution | 5 |","",NOT_FOUND,
"| 10 | Realm Grinder | 5 |","",SUCCESS,https://www.metacritic.com/game/pc/realm-grinder/
"| 11 | Unnamed Space Idle | 5 |","",SUCCESS,https://www.metacritic.com/game/pc/unnamed-space-idle/critic-reviews
"| 12 | DodecaDragons | 4 |","",NOT_FOUND,
"| 13 | Egg Inc | 4 |","",SUCCESS,https://www.metacritic.com/game/ios/egg-inc/
"| 14 | Idle Apocalypse | 4 |","",NOT_FOUND,
"| 15 | Idle Miner Tycoon | 4 |","",SUCCESS,https://www.metacritic.com/game/ios/idle-miner-tycoon-gold-cash/
"| 16 | Idle Slayer | 4 |","",SUCCESS,https://www.metacritic.com/game/pc/idle-slayer
"| 17 | Trimps | 4 |","",SUCCESS,https://www.metacritic.com/game/pc/trimps/
"| 18 | Universal Paperclips | 4 |","",SUCCESS,https://www.metacritic.com/game/ios/universal-paperclips`
"| 19 | Bongo Cat | 4 |","",SUCCESS,https://www.metacritic.com/game/pc/bongo-cat/critic-reviews/
"| 20 | Microcivilization | 4 |","",SUCCESS,https://www.metacritic.com/game/pc/microcivilization
"| 21 | The Farmer Was Replaced | 4 |","",SUCCESS,https://www.metacritic.com/game/pc/the-farmer-was-replaced
"| 22 | What Lurks Below | 4 |","",SUCCESS,https://www.metacritic.com/game/pc/it-lurks-below`
"| 23 | Farm RPG | 4 |","",SUCCESS,https://www.metacritic.com/game/pc/farm-rpg
"| 24 | A Dark Room | 3 |","",SUCCESS,https://www.metacritic.com/game/ios/a-dark-room/
"| 25 | AdVenture Communist | 3 |","",SUCCESS,https://www.metacritic.com/game/pc/adventure-communist
"| 26 | Antimatter Dimensions | 3 |","",SUCCESS,https://www.metacritic.com/game/pc/antimatter-dimensions/
"| 27 | Clickpocalypse 2 | 3 |","",NOT_FOUND,
"| 28 | Exponential Idle | 3 |","",SUCCESS,https://www.metacritic.com/game/pc/exponential-merge
"| 29 | Kittens Game | 3 |","",SUCCESS,https://www.metacritic.com/game/pc/kitten-squad-survival
"| 30 | Soda Dungeon 2 | 3 |","",SUCCESS,https://www.metacritic.com/game/pc/soda-dungeon-2/
"| 31 | Spaceplan | 3 |","",SUCCESS,https://www.metacritic.com/game/pc/spaceplan/critic-reviews/
"| 32 | 10 Billion Wives | 3 |","",SUCCESS,https://www.metacritic.com/game/ios/10-billion-wives/
"| 33 | Cats | 2 |","",SUCCESS,https://www.metacritic.com/game/pc/clair-obscur-expedition-33
"| 34 | Pokemon Sleep | 2 |","",SUCCESS,https://www.metacritic.com/game/ios/pokemon-sleep/
"| 35 | Ad Fund | 1 |","",SUCCESS,https://www.metacritic.com/game/ad-fundum/
"| 36 | AFK Journey | 1 |","",SUCCESS,https://www.metacritic.com/game/afk-journey/
"| 37 | Ayrton Idle | 1 |","",NOT_FOUND,
"| 38 | Banana | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/banana-aaladin66
"| 39 | Bitburner | 1 |","",NOT_FOUND,
"| 40 | Cauldron | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/cauldron
"| 41 | ChronoForge | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/chronoforge
"| 42 | Civ Idle | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/cividle/
"| 43 | CivRise | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/civrise/
"| 44 | Click Mage | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/click-mage
"| 45 | Clicker Kingdom | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/clicker-kingdom/
"| 46 | Coin Factory | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/coin-factory
"| 47 | Cult of the Yellow King | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/cult-of-the-yellow-king/
"| 48 | Cyber Rebellion | 1 |","",NOT_FOUND,
"| 49 | Cyber Shard Clicker | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/cyber-shard-clicker/
"| 50 | Deep Space Cash | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/deep-space-cache/user-reviews/
"| 51 | Desktop Colony | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/desktop-colony
"| 52 | Dun Crush | 1 |","",NOT_FOUND,
"| 53 | Factory Town Idle | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/factory-town-idle
"| 54 | Fill Up The Hole | 1 |","",NOT_FOUND,
"| 55 | Griddle | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/griddle
"| 56 | Hamster | 1 |","",NOT_FOUND,
"| 57 | Hero Wars Alliance | 1 |","",SUCCESS,https://www.metacritic.com/game/ios/hero-wars---fantasy-world/
"| 58 | Hotel Empire Tycoon | 1 |","",NOT_FOUND,
"| 59 | Idle Colony | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/idle-colony/
"| 60 | Idle Farming Empire | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/idle-farm-tycoon
"| 61 | Idle Magic School | 1 |","",NOT_FOUND,
"| 62 | Idle Outpost | 1 |","",SUCCESS,https://www.metacritic.com/game/ios/idle-outpost-business-game/`
"| 63 | Idle Planet Miner | 1 |","",NOT_FOUND,
"| 64 | Idle Saga | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/idle-saga/
"| 65 | Idle Space Energy Particle Simulator | 1 |","",NOT_FOUND,
"| 66 | Idle Weapon Shop | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/idle-weaponshop
"| 67 | IdleOn The Idle Game MMO | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/legends-of-idleon-mmo/details
"| 68 | Journey to Incrementalia | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/journey-to-incrementalia/reviews/
"| 69 | Legend of Mushroom | 1 |","",SUCCESS,https://www.metacritic.com/game/ios/legend-of-mushroom/
"| 70 | Lumberjacked | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/lumberjacked
"| 71 | Moose Miners | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/moose-miners/
"| 72 | My Little Universe | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/my-little-universe/critic-reviews/
"| 73 | Nodebuster | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/nodebuster
"| 74 | PolyPine | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/polypine
"| 75 | Professional Gluteus Maximus Slapper | 1 |","",NOT_FOUND,
"| 76 | Rusty's Retirement | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/rustys-retirement/
"| 77 | Sixty Four | 1 |","",SUCCESS,https://www.metacritic.com/game/sixty-four/
"| 78 | Super Mining Mix | 1 |","",SUCCESS,https://www.metacritic.com/game/super-mining-mechs/
"| 79 | Tapple | 1 |","",NOT_FOUND,
"| 80 | The Legends of Dragia | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/legends-of-dragaea-idle-dungeons
"| 81 | Tower Wizard | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/tower-wizard/
"| 82 | Universe Horizon | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/universe-horizon
"| 83 | Widget Inc | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/widget-inc